Temperature (oC),Pressure (Mpa),Liquid Density (kg/m3),Volume (m3/kg),Liquid Enthalpy (kJ/kg),Vapor Enthalpy (kJ/kg),Liquid Entropy (kJ/(kg*K)),Vapor Entropy (kJ/(kg*K)),Liquid Specific Heat (kJ/(kg*K)),Vapor Specific Heat (kJ/(kg*K)),Vapor cp/cv,Liquid Velocity of Sound (m/s),Vapor Velocity of Sound (m/s),Liquid viscosity (?Pa*s),Vapor viscosity (?Pa*s),Liquid thermal conductivity (mW/(m*K)),Vapor thermal conductivity (mW/(m*K)),Surface tension mN/m
-60,0.00127,1548.7,10.38,126.08,361.82,0.6949,1.8009,1.2,0.701,1.101,1041,120.3,2026,7.36,115.5,9.08,24.67
-50,0.00281,1525.2,4.9038,138.12,368.68,0.7501,1.7834,1.208,0.725,1.099,994,122.7,1501,7.71,111.9,9.27,23.47
-40,0.00572,1501.6,2.5079,150.24,375.67,0.8033,1.7702,1.218,0.751,1.098,948,125,1174,8.06,108.5,9.54,22.26
-30,0.01085,1477.7,1.3726,162.48,382.76,0.8547,1.7606,1.229,0.778,1.098,902,127.1,951.2,8.4,105.2,9.89,21.03
-20,0.01937,1453.6,0.79638,174.84,389.94,0.9044,1.7541,1.242,0.806,1.099,859,129,790.1,8.75,102.1,10.3,19.78
-10,0.03277,1429,0.48586,187.34,397.18,0.9528,1.7502,1.257,0.837,1.1,815,130.7,668.3,9.09,99,10.77,18.52
0,0.05292,1404,0.30955,200,404.47,1,1.7486,1.274,0.868,1.103,773,132.1,573.2,9.42,95.9,11.31,17.25
2,0.05795,1398.9,0.28419,202.55,405.93,1.0093,1.7484,1.277,0.875,1.104,765,132.3,556.7,9.49,95.3,11.43,16.99
4,0.06336,1393.8,0.26129,205.11,407.39,1.0186,1.7484,1.281,0.881,1.104,756,132.5,540.8,9.56,94.7,11.55,16.74
6,0.06916,1388.7,0.24057,207.68,408.86,1.0278,1.7484,1.284,0.888,1.105,748,132.8,525.6,9.62,94,11.67,16.48
8,0.07538,1383.5,0.2218,210.25,410.32,1.0369,1.7485,1.288,0.895,1.106,740,133,511,9.69,93.4,11.79,16.22
